RSSI,Energy,ActivityScore,Label
0.0,6.32,17.3266,4
0.0,6.48,23.85,4
0.0,6.57,28.3872,4
0.0,6.57,31.8,4
0.0,6.63,34.4245,4
0.0,6.66,36.4315,4
0.0,6.71,37.9191,4
0.0,6.72,38.9469,4
0.0,6.68,44.0328,4
0.0,6.69,45.9044,4
-53.0,6.76,45.3523,4
-53.0,6.59,44.4393,4
-53.0,6.35,43.1423,4
-53.0,6.49,41.4255,4
-53.0,6.47,39.2337,4
-53.0,6.56,36.4592,4
-53.0,6.59,32.9975,4
-53.0,6.61,28.6004,4
-53.0,6.62,22.7283,4
-53.0,6.63,14.6269,4
-53.0,6.53,14.6269,4
-53.0,6.34,14.6269,4
-53.0,6.36,16.1137,4
-53.0,6.55,16.1137,4
-53.0,6.47,16.1137,4
-53.0,6.48,16.1137,4
-53.0,6.54,16.1137,4
-53.0,6.47,18.9119,4
-53.0,6.56,16.8273,4
-53.0,6.68,15.9979,4
-53.0,6.59,15.9979,4
-53.0,6.58,15.9979,4
-53.0,6.61,15.9979,4
-53.0,6.64,15.9979,4
-53.0,6.65,15.9979,4
-53.0,6.67,15.9593,4
-53.0,6.58,15.9203,4
-53.0,6.6,15.8809,4
-53.0,6.69,15.8809,4
-53.0,6.49,15.0964,4
-53.0,6.53,15.0964,4
-53.0,6.53,15.0964,4
-53.0,6.55,13.3374,4
-53.0,6.58,13.365,4
-53.0,6.57,13.3921,4
-53.0,6.67,13.4187,4
-53.0,6.71,13.4449,4
-53.0,6.7,7.0016,4
-53.0,6.64,0.7155,4
-53.0,6.58,8.6491,4
-53.0,6.59,8.6491,4
-53.0,6.59,8.6491,4
-53.0,6.69,8.6491,4
-53.0,6.58,8.6491,4
-53.0,6.67,8.6491,4
-53.0,6.59,8.6491,4
-53.0,6.59,8.6676,4
-53.0,6.68,8.6854,4
-53.0,6.68,8.6854,4
-53.0,6.58,10.694,4
-53.0,6.58,13.6564,4
-53.0,6.6,13.6564,4
-53.0,6.61,13.6253,4
-53.0,6.73,13.5936,4
-53.0,6.73,13.5615,4
-53.0,6.8,13.5289,4
-53.0,6.83,13.4958,4
-53.0,6.83,13.4622,4
-53.0,6.65,14.6363,4
-53.0,6.65,12.7226,4
-53.0,6.68,12.7226,4
-53.0,6.7,12.7226,4
-53.0,6.65,12.7226,4
-53.0,6.72,12.7226,4
-53.0,6.68,12.7568,4
-53.0,6.74,12.7568,4
-53.0,6.67,12.7226,4
-53.0,6.62,12.7657,4
-53.0,6.66,14.3677,4
-53.0,6.69,13.4036,4
-53.0,6.52,10.4882,4
-53.0,6.59,12.3018,4
-53.0,6.52,12.3775,4
-53.0,6.68,12.4509,4
-53.0,6.7,12.5221,4
-53.0,6.62,12.5911,4
-53.0,6.48,12.6579,4
