RSSI,Energy,ActivityScore,Label
0.0,1.18,17.9805,3
0.0,3.45,24.75,3
0.0,4.5,29.4584,3
0.0,5.38,33.0,3
0.0,5.79,35.7235,3
0.0,6.06,37.8063,3
0.0,6.33,39.35,3
0.0,6.38,40.4166,3
0.0,6.47,41.0432,3
0.0,6.59,41.25,3
-55.0,6.61,41.0432,3
-55.0,6.63,40.4166,3
-55.0,6.71,39.35,3
-55.0,6.7,37.8063,3
-55.0,6.62,35.7235,3
-55.0,6.78,33.0,3
-55.0,6.61,29.4584,3
-55.0,6.77,24.75,3
-55.0,6.56,17.9805,3
-55.0,6.56,11.4421,3
-55.0,6.6,11.4421,3
-55.0,6.51,11.4421,3
-55.0,6.48,15.9768,3
-55.0,6.46,15.9768,3
-55.0,6.51,15.9768,3
-55.0,6.64,15.9768,3
-55.0,6.68,15.9768,3
-55.0,6.39,17.6523,3
-55.0,6.52,17.6523,3
-55.0,6.46,17.6523,3
-55.0,6.69,17.6523,3
-55.0,6.5,17.6523,3
-55.0,6.64,17.6523,3
-55.0,6.5,17.6523,3
-55.0,6.64,18.3189,3
-55.0,6.51,18.2574,3
-55.0,6.59,18.1944,3
-55.0,6.62,18.1944,3
-55.0,6.65,18.1593,3
-55.0,6.59,15.2639,3
-55.0,6.65,15.2639,3
-55.0,6.73,15.2342,3
-55.0,6.64,10.7632,3
-55.0,6.7,10.7632,3
-55.0,6.44,10.7632,3
-55.0,6.55,10.7632,3
-55.0,6.4,10.7632,3
-55.0,6.47,6.8147,3
-55.0,6.51,6.8147,3
-55.0,6.54,6.8147,3
-55.0,6.66,6.8147,3
-55.0,6.61,6.8147,3
-55.0,6.48,6.8147,3
-55.0,6.5,6.8147,3
-55.0,6.41,0.9808,3
-55.0,6.42,0.8043,3
-55.0,6.47,0.5356,3
-55.0,6.37,0.5356,3
-55.0,6.45,0.45,3
-55.0,6.49,0.0,3
-55.0,6.61,0.0,3
-55.0,6.64,0.0,3
-55.0,6.71,0.0,3
-55.0,6.69,0.0,3
-55.0,6.67,0.0,3
-55.0,6.88,0.0,3
-55.0,6.8,0.0,3
-55.0,6.59,0.0,3
-55.0,6.51,0.0,3
-55.0,6.59,0.0,3
-55.0,6.48,0.0,3
-55.0,6.62,0.0,3
-55.0,6.63,0.0,3
-55.0,6.8,0.6538,3
-55.0,6.67,0.6538,3
-55.0,6.65,0.6538,3
-55.0,6.63,0.6538,3
-55.0,6.64,0.6538,3
-55.0,6.62,0.6538,3
-55.0,6.64,0.6538,3
-55.0,6.63,0.6538,3
-55.0,6.56,0.6538,3
-55.0,6.72,0.6538,3
-55.0,6.64,0.6538,3
-55.0,6.64,7.5131,3
-55.0,6.53,7.5131,3
-55.0,6.62,7.5131,3
-55.0,6.51,7.5131,3
-55.0,6.59,7.5131,3
-55.0,6.63,7.5131,3
-55.0,6.68,7.5131,3
-55.0,6.58,7.5131,3
