RSSI,Energy,ActivityScore,Label
-47.0,6.45,0.6708,1
-47.0,6.54,0.6708,1
-47.0,6.35,0.7462,1
-47.0,6.55,0.8078,1
-47.0,6.51,0.8584,1
-47.0,6.45,0.8584,1
-47.0,6.55,0.8584,1
-47.0,6.51,0.8584,1
-47.0,6.69,0.8584,1
-47.0,6.67,0.8078,1
-47.0,6.61,0.7462,1
-47.0,6.74,0.7462,1
-47.0,6.5,0.7462,1
-47.0,6.75,0.7462,1
-47.0,6.7,0.7462,1
-47.0,6.92,0.7462,1
-47.0,6.74,0.7462,1
-47.0,6.93,0.7462,1
-47.0,6.9,0.7155,1
-47.0,6.66,0.6,1
-47.0,6.74,0.6,1
-47.0,6.45,0.6,1
-47.0,6.64,0.5356,1
-47.0,6.66,0.5356,1
-47.0,6.84,0.5356,1
-47.0,6.79,0.6,1
-47.0,6.95,0.6495,1
-47.0,6.89,0.6874,1
-47.0,6.63,0.7155,1
-47.0,6.83,0.7348,1
-47.0,6.67,0.7348,1
-47.0,6.88,0.7348,1
-47.0,6.79,0.7462,1
-47.0,6.72,0.75,1
-48.0,6.58,0.7462,1
-48.0,6.62,0.7348,1
-48.0,6.54,0.7155,1
-48.0,6.46,0.6874,1
-48.0,6.47,0.6874,1
-48.0,6.49,0.6495,1
-48.0,6.71,0.6495,1
-48.0,6.71,0.6495,1
-48.0,6.41,0.6495,1
-48.0,6.54,0.6874,1
-48.0,6.42,0.8043,1
-48.0,6.39,0.9,1
-48.0,6.36,0.9808,1
-48.0,6.16,0.9808,1
-48.0,6.24,0.9808,1
-48.0,6.15,0.9808,1
-48.0,6.49,0.9367,1
-48.0,6.53,0.8842,1
-48.0,6.64,0.8842,1
-48.0,6.6,0.8842,1
-48.0,6.44,0.8842,1
-48.0,6.66,0.8842,1
-48.0,6.71,0.8842,1
-48.0,6.5,0.9367,1
-48.0,6.62,0.9808,1
-48.0,6.55,0.9808,1
-48.0,6.72,0.9367,1
-48.0,6.54,0.8842,1
-48.0,6.67,0.8216,1
-48.0,6.35,0.7462,1
-48.0,6.57,0.6708,1
-48.0,6.45,0.6538,1
-48.0,6.24,0.5356,1
-48.0,6.58,0.5356,1
-48.0,6.54,0.5356,1
-48.0,6.59,0.5356,1
-48.0,6.37,0.5356,1
-48.0,6.24,0.5356,1
-48.0,6.53,0.5356,1
-48.0,6.3,0.5356,1
-48.0,6.56,0.5356,1
-48.0,6.49,0.6,1
-48.0,6.65,0.6,1
-48.0,6.78,0.5356,1
-48.0,6.53,0.45,1
-48.0,6.82,0.45,1
-48.0,6.69,0.45,1
-48.0,6.67,0.45,1
-48.0,6.63,0.45,1
-48.0,6.69,0.45,1
-48.0,6.68,0.45,1
-48.0,6.66,0.0,1
-48.0,6.89,0.0,1
-48.0,6.47,0.0,1
-48.0,6.56,0.0,1
-48.0,6.6,0.0,1
-48.0,6.32,0.0,1
-48.0,6.49,0.0,1
-48.0,6.48,0.0,1
-48.0,6.75,0.0,1
-48.0,6.68,0.0,1
-48.0,6.65,0.0,1
-48.0,6.72,0.45,1
-48.0,6.59,0.45,1
-48.0,6.88,0.45,1
-48.0,6.59,0.45,1
-48.0,6.53,0.45,1
-48.0,6.63,0.45,1
-48.0,6.38,0.45,1
-48.0,6.41,0.45,1
-48.0,6.25,0.45,1
-48.0,6.43,0.45,1
-48.0,6.57,0.45,1
-48.0,6.53,0.45,1
-48.0,6.79,0.45,1
-48.0,6.52,0.45,1
-48.0,6.69,0.45,1
-48.0,6.56,0.45,1
-48.0,6.42,0.45,1
-48.0,6.73,0.45,1
-48.0,6.56,0.45,1
-48.0,6.72,0.45,1
-48.0,6.59,0.45,1
-48.0,6.46,0.45,1
-48.0,6.56,0.45,1
-48.0,6.49,0.45,1
-48.0,6.8,0.45,1
-48.0,6.66,0.45,1
-48.0,6.89,0.45,1
-48.0,6.89,0.45,1
-48.0,6.93,0.5356,1
-48.0,6.96,0.6,1
-48.0,6.52,0.6,1
-48.0,6.8,0.6,1
-48.0,6.52,0.6,1
-48.0,6.68,0.6,1
-48.0,6.51,0.6,1
-48.0,6.47,0.6,1
-48.0,6.54,0.6,1
-48.0,6.38,0.6,1
-48.0,6.34,0.6,1
-48.0,6.49,0.5356,1
-48.0,6.48,0.45,1
-48.0,6.61,0.45,1
-48.0,6.57,0.5356,1
-48.0,6.62,0.5356,1
-48.0,6.58,0.5356,1
-48.0,6.3,0.5356,1
-48.0,6.49,0.5356,1
-48.0,6.44,0.6,1
-48.0,6.64,0.6,1
-48.0,6.58,0.6,1
-48.0,6.79,0.6,1
-48.0,6.82,0.6,1
-48.0,6.48,0.6,1
-48.0,6.76,0.6,1
-48.0,6.48,0.6,1
-48.0,6.7,0.6,1
-48.0,6.63,0.6,1
-48.0,6.5,0.6,1
-48.0,6.57,0.6,1
-48.0,6.55,0.6,1
-48.0,6.65,0.6,1
